ano,mun,uf,codmun,matriculas_6ano_9ano,matriculas_EM
2007,boa vista do cadeado,RS,4302220,177,77
2007,boa vista do gurupi,MA,2101970,733,390
2007,boa vista do incra,RS,4302238,203,114
2007,boa vista do ramos,AM,1300680,1219,647
2007,boa vista do sul,RS,4302253,172,96
2007,boa vista do tupim,BA,2903805,2860,763
2007,boca da mata,AL,2701001,3570,1546
2007,boca do acre,AM,1300706,2595,1148
2007,bocaina,PI,2201804,278,230
2007,bocaina,SP,3506805,723,315
2007,bocaina de minas,MG,3107208,273,99
2007,bocaina do sul,SC,4202438,253,139
2007,bocaiúva,MG,3107307,4977,2485
2007,bocaiúva do sul,PR,4103107,967,342
2007,bodó,RN,2401651,259,197
2007,bodocó,PE,2602001,2438,1475
2007,bodoquena,MS,5002159,730,338
2007,bofete,SP,3506904,744,383
2007,boituva,SP,3507001,3193,1860
2007,bom conselho,PE,2602100,3464,1817
2007,bom despacho,MG,3107406,3646,1936
